영화명,개봉일,날짜,관객수,누적관객,스크린수,상영횟수,순위
침범,2025-03-12,2025-03-18,6260,66057,491,1033,3
콘클라베,2025-03-05,2025-03-18,6203,156461,535,889,4
위플래쉬,2015-03-12,2025-03-18,3657,1702508,439,703,5
퇴마록,2025-02-21,2025-03-18,3452,447146,597,833,6
에밀리아 페레즈,2025-03-12,2025-03-18,2641,24727,315,413,7
노보케인,2025-03-12,2025-03-18,2122,27898,384,603,8
캡틴 아메리카: 브레이브 뉴 월드,2025-02-12,2025-03-18,1092,1652658,230,290,9
화이트 버드,2025-03-12,2025-03-18,817,13570,154,225,10
미키 17,2025-02-28,2025-03-19,23123,2684779,973,2574,1
백설공주,2025-03-19,2025-03-19,23047,23761,1043,3335,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-19,16530,254667,298,861,3
고독한 미식가 더 무비,2025-03-19,2025-03-19,10235,14831,575,1083,4
플로우,2025-03-19,2025-03-19,8127,14622,565,890,5
악령: 깨어난 시체,2025-03-19,2025-03-19,7730,8050,254,443,6
콘클라베,2025-03-05,2025-03-19,5128,161589,403,549,7
승부,2025-03-26,2025-03-19,3428,3675,15,18,8
퇴마록,2025-02-21,2025-03-19,3161,450307,305,408,9
케이온,2013-06-13,2025-03-19,2948,5263,141,267,10
미키 17,2025-02-28,2025-03-20,21414,2706193,943,2536,1
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-20,18523,273190,317,893,2
백설공주,2025-03-19,2025-03-20,11598,35359,965,2734,3
고독한 미식가 더 무비,2025-03-19,2025-03-20,7061,21892,583,1058,4
콘클라베,2025-03-05,2025-03-20,5120,166709,417,570,5
플로우,2025-03-19,2025-03-20,4278,18900,567,871,6
악령: 깨어난 시체,2025-03-19,2025-03-20,4188,12238,246,400,7
퇴마록,2025-02-21,2025-03-20,3153,453460,306,403,8
침범,2025-03-12,2025-03-20,2732,70924,259,361,9
3일, ,2025-03-20,2230,5184,55,68,10
스트리밍,2025-03-21,2025-03-21,31524,33702,819,2856,1
미키 17,2025-02-28,2025-03-21,28881,2735074,918,2521,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-21,24413,297603,330,967,3
백설공주,2025-03-19,2025-03-21,13649,49008,862,2379,4
고독한 미식가 더 무비,2025-03-19,2025-03-21,7893,29785,631,1106,5
콘클라베,2025-03-05,2025-03-21,5884,172593,409,541,6
플로우,2025-03-19,2025-03-21,5044,23944,545,816,7
퇴마록,2025-02-21,2025-03-21,4095,457555,311,389,8
악령: 깨어난 시체,2025-03-19,2025-03-21,3006,15244,232,377,9
침범,2025-03-12,2025-03-21,1989,72913,206,253,10
미키 17,2025-02-28,2025-03-22,62906,2797980,991,2864,1
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-22,53968,351571,391,1271,2
백설공주,2025-03-19,2025-03-22,44280,93288,1022,3290,3
스트리밍,2025-03-21,2025-03-22,26771,60473,804,2638,4
플로우,2025-03-19,2025-03-22,16880,40824,651,1021,5
고독한 미식가 더 무비,2025-03-19,2025-03-22,13618,43403,662,1247,6
콘클라베,2025-03-05,2025-03-22,12055,184648,447,618,7
퇴마록,2025-02-21,2025-03-22,9122,466677,374,505,8
악령: 깨어난 시체,2025-03-19,2025-03-22,6648,21892,279,501,9
위플래쉬,2015-03-12,2025-03-22,4508,1713360,225,263,10
미키 17,2025-02-28,2025-03-23,48372,2846352,982,2782,1
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-23,43462,395033,380,1264,2
백설공주,2025-03-19,2025-03-23,34768,128056,1005,3027,3
스트리밍,2025-03-21,2025-03-23,18278,78751,762,2353,4
플로우,2025-03-19,2025-03-23,18118,58942,693,1072,5
고독한 미식가 더 무비,2025-03-19,2025-03-23,11110,54513,644,1169,6
콘클라베,2025-03-05,2025-03-23,9889,194537,434,604,7
퇴마록,2025-02-21,2025-03-23,9120,475797,385,527,8
악령: 깨어난 시체,2025-03-19,2025-03-23,7206,29098,267,478,9
위플래쉬,2015-03-12,2025-03-23,4236,1717596,217,256,10
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-24,13772,408805,328,956,1
미키 17,2025-02-28,2025-03-24,13593,2859945,828,2259,2
스트리밍,2025-03-21,2025-03-24,6763,85514,627,1740,3
백설공주,2025-03-19,2025-03-24,5198,133254,664,1483,4
콘클라베,2025-03-05,2025-03-24,4000,198537,412,591,5
플로우,2025-03-19,2025-03-24,3577,62519,511,731,6
고독한 미식가 더 무비,2025-03-19,2025-03-24,3462,57975,527,925,7
퇴마록,2025-02-21,2025-03-24,2332,478129,305,424,8
악령: 깨어난 시체,2025-03-19,2025-03-24,1965,31063,197,313,9
컴패니언,2025-03-19,2025-03-24,1286,14680,280,331,10
미키 17,2025-02-28,2025-03-25,12235,2872180,839,2177,1
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-25,12135,420940,332,949,2
스트리밍,2025-03-21,2025-03-25,5587,91101,614,1594,3
백설공주,2025-03-19,2025-03-25,5176,138430,659,1429,4
고독한 미식가 더 무비,2025-03-19,2025-03-25,3655,61630,523,924,5
플로우,2025-03-19,2025-03-25,3518,66037,503,728,6
콘클라베,2025-03-05,2025-03-25,3426,201963,398,560,7
퇴마록,2025-02-21,2025-03-25,2358,480487,301,416,8
악령: 깨어난 시체,2025-03-19,2025-03-25,1898,32961,210,336,9
로비,2025-04-02,2025-03-25,1735,1735,8,9,10
승부,2025-03-26,2025-03-26,91471,95646,1638,6650,1
미키 17,2025-02-28,2025-03-26,17267,2889447,662,1598,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-26,15151,436091,286,791,3
콘클라베,2025-03-05,2025-03-26,5794,207757,323,441,4
플로우,2025-03-19,2025-03-26,5283,71320,402,500,5
라스트 마일,2025-03-26,2025-03-26,4031,6483,148,362,6
고독한 미식가 더 무비,2025-03-19,2025-03-26,3651,65281,420,635,7
백설공주,2025-03-19,2025-03-26,3409,141839,440,625,8
스트리밍,2025-03-21,2025-03-26,2929,94030,446,717,9
케이온,2013-06-13,2025-03-26,2587,17687,94,138,10
승부,2025-03-26,2025-03-27,60940,156586,1554,6416,1
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-27,14863,450954,270,780,2
미키 17,2025-02-28,2025-03-27,8985,2898432,610,1499,3
플로우,2025-03-19,2025-03-27,3440,74760,390,474,4
콘클라베,2025-03-05,2025-03-27,3172,210929,318,439,5
고독한 미식가 더 무비,2025-03-19,2025-03-27,2373,67654,381,578,6
스트리밍,2025-03-21,2025-03-27,2249,96279,434,671,7
라스트 마일,2025-03-26,2025-03-27,1800,8283,142,332,8
백설공주,2025-03-19,2025-03-27,1733,143572,391,545,9
침범,2025-03-12,2025-03-27,1310,83767,61,70,10
승부,2025-03-26,2025-03-28,92327,248913,1649,7159,1
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-28,17450,468404,300,873,2
미키 17,2025-02-28,2025-03-28,12590,2911022,639,1659,3
라스트 마일,2025-03-26,2025-03-28,4514,12797,163,362,4
콘클라베,2025-03-05,2025-03-28,4382,215311,341,503,5
플로우,2025-03-19,2025-03-28,3976,78736,423,536,6
백설공주,2025-03-19,2025-03-28,3216,146788,427,595,7
고독한 미식가 더 무비,2025-03-19,2025-03-28,2759,70413,386,604,8
퇴마록,2025-02-21,2025-03-28,1675,484521,208,285,9
스트리밍,2025-03-21,2025-03-28,1654,97933,350,550,10
승부,2025-03-26,2025-03-29,234094,483007,1773,8161,1
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-29,39176,507580,303,1031,2
미키 17,2025-02-28,2025-03-29,27011,2938033,656,1856,3
플로우,2025-03-19,2025-03-29,15677,94413,596,848,4
백설공주,2025-03-19,2025-03-29,13209,159997,586,981,5
콘클라베,2025-03-05,2025-03-29,8592,223903,375,583,6
라스트 마일,2025-03-26,2025-03-29,5565,18362,166,368,7
고독한 미식가 더 무비,2025-03-19,2025-03-29,4784,75197,384,545,8
퇴마록,2025-02-21,2025-03-29,3298,487819,234,327,9
기동전사 건담 지쿠악스 비기닝,2025-04-02,2025-03-29,3180,3180,47,62,10
승부,2025-03-26,2025-03-30,217830,700837,1756,7787,1
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-30,32345,539925,305,1010,2
미키 17,2025-02-28,2025-03-30,21339,2959372,663,1733,3
플로우,2025-03-19,2025-03-30,15417,109830,599,852,4
백설공주,2025-03-19,2025-03-30,12793,172790,572,951,5
콘클라베,2025-03-05,2025-03-30,6864,230767,366,545,6
고독한 미식가 더 무비,2025-03-19,2025-03-30,4137,79334,379,530,7
라스트 마일,2025-03-26,2025-03-30,3715,22077,157,344,8
퇴마록,2025-02-21,2025-03-30,2585,490404,227,293,9
기동전사 건담 지쿠악스 비기닝,2025-04-02,2025-03-30,2281,5461,47,58,10
승부,2025-03-26,2025-03-31,68400,769237,1547,6515,1
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-31,10981,550906,278,802,2
미키 17,2025-02-28,2025-03-31,7452,2966824,597,1459,3
콘클라베,2025-03-05,2025-03-31,3385,234152,347,513,4
로비,2025-04-02,2025-03-31,2678,4617,10,10,5
플로우,2025-03-19,2025-03-31,2635,112465,405,524,6
라스트 마일,2025-03-26,2025-03-31,1990,24067,145,326,7
백설공주,2025-03-19,2025-03-31,1645,174435,313,416,8
고독한 미식가 더 무비,2025-03-19,2025-03-31,1604,80938,335,459,9
프랑켄슈타인 아버지,2025-04-02,2025-03-31,1123,1686,5,5,10
승부,2025-03-26,2025-04-01,57728,826965,1548,6303,1
브리짓 존스의 일기: 뉴 챕터,2025-04-16,2025-04-01,11147,11653,55,55,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-01,9901,560807,267,763,3
미키 17,2025-02-28,2025-04-01,5370,2972194,558,1279,4
콘클라베,2025-03-05,2025-04-01,2671,236823,314,452,5
플로우,2025-03-19,2025-04-01,1985,114450,381,490,6
라스트 마일,2025-03-26,2025-04-01,1847,25914,143,330,7
백설공주,2025-03-19,2025-04-01,1617,176052,316,409,8
고독한 미식가 더 무비,2025-03-19,2025-04-01,1350,82288,339,453,9
스윙걸즈,2006-03-23,2025-04-01,1030,64442,102,138,10
승부,2025-03-26,2025-04-02,50781,877746,1373,5196,1
로비,2025-04-02,2025-04-02,37163,41780,1013,3644,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-02,9497,570304,241,644,3
헤레틱,2025-04-02,2025-04-02,5539,6129,150,500,4
미키 17,2025-02-28,2025-04-02,3700,2975894,416,799,5
기동전사 건담 지쿠악스 비기닝,2025-04-02,2025-04-02,3325,8786,174,427,6
세븐틴 [라잇 히어] 월드 투어 인 시네마,2025-04-02,2025-04-02,3166,3292,96,296,7
콘클라베,2025-03-05,2025-04-02,2097,238920,269,360,8
공포특급,2025-04-02,2025-04-02,2041,2293,164,276,9
플로우,2025-03-19,2025-04-02,1859,116309,280,348,10
승부,2025-03-26,2025-04-03,46936,924682,1390,5172,1
로비,2025-04-02,2025-04-03,22023,63803,974,3285,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-03,11058,581362,238,671,3
목소리들,2025-04-02,2025-04-03,8084,8772,140,150,4
헤레틱,2025-04-02,2025-04-03,3366,9495,149,493,5
미키 17,2025-02-28,2025-04-03,3339,2979233,421,755,6
플로우,2025-03-19,2025-04-03,2224,118533,269,333,7
콘클라베,2025-03-05,2025-04-03,2133,241053,260,354,8
라스트 마일,2025-03-26,2025-04-03,1879,29524,117,203,9
스윙걸즈,2006-03-23,2025-04-03,1872,67133,75,101,10
승부,2025-03-26,2025-04-04,68484,993166,1426,5581,1
로비,2025-04-02,2025-04-04,21900,85703,950,3115,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-04,13054,594416,251,704,3
미스터 로봇,2025-04-04,2025-04-04,5113,6554,388,645,4
미키 17,2025-02-28,2025-04-04,4222,2983455,428,741,5
헤레틱,2025-04-02,2025-04-04,3667,13162,152,513,6
라스트 마일,2025-03-26,2025-04-04,2608,32132,127,196,7
콘클라베,2025-03-05,2025-04-04,2361,243414,252,321,8
플로우,2025-03-19,2025-04-04,1806,120339,280,332,9
세븐틴 [라잇 히어] 월드 투어 인 시네마,2025-04-02,2025-04-04,1666,6419,92,237,10
승부,2025-03-26,2025-04-05,208378,1201544,1521,6602,1
로비,2025-04-02,2025-04-05,46948,132651,981,3368,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-05,26127,620543,298,902,3
플로우,2025-03-19,2025-04-05,10364,130703,467,649,4
미키 17,2025-02-28,2025-04-05,8985,2992440,462,773,5
헤레틱,2025-04-02,2025-04-05,6933,20095,152,539,6
콘클라베,2025-03-05,2025-04-05,5925,249339,273,360,7
미스터 로봇,2025-04-04,2025-04-05,5107,11661,453,718,8
세븐틴 [라잇 히어] 월드 투어 인 시네마,2025-04-02,2025-04-05,4466,10885,96,285,9
백설공주,2025-03-19,2025-04-05,4459,182874,320,405,10
승부,2025-03-26,2025-04-06,150716,1352260,1511,6268,1
로비,2025-04-02,2025-04-06,32702,165353,936,3081,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-06,21570,642113,298,872,3
플로우,2025-03-19,2025-04-06,7818,138521,466,632,4
미키 17,2025-02-28,2025-04-06,5960,2998400,449,724,5
헤레틱,2025-04-02,2025-04-06,4645,24740,151,499,6
콘클라베,2025-03-05,2025-04-06,4241,253580,263,326,7
미스터 로봇,2025-04-04,2025-04-06,3852,15513,427,640,8
세븐틴 [라잇 히어] 월드 투어 인 시네마,2025-04-02,2025-04-06,3843,14728,96,259,9
백설공주,2025-03-19,2025-04-06,3601,186475,303,378,10
승부,2025-03-26,2025-04-07,41630,1393890,1298,4979,1
로비,2025-04-02,2025-04-07,10277,175630,800,2299,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-07,7646,649759,255,670,3
미키 17,2025-02-28,2025-04-07,2220,3000620,352,573,4
콘클라베,2025-03-05,2025-04-07,1819,255399,248,325,5
헤레틱,2025-04-02,2025-04-07,1468,26208,145,384,6
야당,2025-04-16,2025-04-07,1223,1502,5,7,7
플로우,2025-03-19,2025-04-07,1121,139642,242,304,8
미스터 로봇,2025-04-04,2025-04-07,990,16503,253,309,9
라스트 마일,2025-03-26,2025-04-07,982,39461,115,188,10
승부,2025-03-26,2025-04-08,36753,1430643,1337,4891,1
로비,2025-04-02,2025-04-08,11902,187532,818,2352,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-08,6789,656548,245,650,3
야당,2025-04-16,2025-04-08,6025,7527,26,26,4
미키 17,2025-02-28,2025-04-08,1875,3002495,363,559,5
헤레틱,2025-04-02,2025-04-08,1823,28031,149,401,6
콘클라베,2025-03-05,2025-04-08,1663,257062,255,331,7
공포특급,2025-04-02,2025-04-08,1508,12420,135,184,8
플로우,2025-03-19,2025-04-08,1109,140751,249,307,9
미스터 로봇,2025-04-04,2025-04-08,1064,17567,247,305,10
승부,2025-03-26,2025-04-09,36183,1466826,1197,4374,1
아마추어,2025-04-09,2025-04-09,15899,16393,728,2032,2
로비,2025-04-02,2025-04-09,7320,194852,666,1580,3
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-09,6581,663129,224,576,4
너의 췌장을 먹고 싶어,2017-10-25,2025-04-09,6430,475250,151,481,5
베러맨,2025-04-09,2025-04-09,6336,10413,418,864,6
야당,2025-04-16,2025-04-09,5007,12534,28,28,7
택시 드라이버,1989-02-17,2025-04-09,2006,2014,82,170,8
라스트 마일,2025-03-26,2025-04-09,1747,42253,116,162,9
헤레틱,2025-04-02,2025-04-09,1369,29400,118,182,10
승부,2025-03-26,2025-04-10,35381,1502207,1207,4326,1
아마추어,2025-04-09,2025-04-10,10034,26427,696,1908,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-10,8048,671177,235,605,3
로비,2025-04-02,2025-04-10,6787,201639,647,1556,4
야당,2025-04-16,2025-04-10,3994,16528,22,22,5
베러맨,2025-04-09,2025-04-10,3143,13556,395,748,6
기동전사 건담 지쿠악스 비기닝,2025-04-02,2025-04-10,2905,23713,170,262,7
너의 췌장을 먹고 싶어,2017-10-25,2025-04-10,2662,477912,142,436,8
미스터 로봇,2025-04-04,2025-04-10,2058,20824,239,264,9
콘클라베,2025-03-05,2025-04-10,1224,259491,165,199,10
승부,2025-03-26,2025-04-11,53729,1555936,1224,4692,1
아마추어,2025-04-09,2025-04-11,10086,36513,666,1834,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-11,8808,679985,249,648,3
로비,2025-04-02,2025-04-11,8085,209724,648,1522,4
드라이브 인 타이페이,2025-04-11,2025-04-11,5079,5223,475,876,5
너의 췌장을 먹고 싶어,2017-10-25,2025-04-11,3214,481126,146,479,6
베러맨,2025-04-09,2025-04-11,2841,16397,379,679,7
콘클라베,2025-03-05,2025-04-11,1513,261004,155,188,8
기동전사 건담 지쿠악스 비기닝,2025-04-02,2025-04-11,1508,25221,156,225,9
라스트 마일,2025-03-26,2025-04-11,1437,44623,113,167,10
승부,2025-03-26,2025-04-12,135937,1691873,1321,5586,1
아마추어,2025-04-09,2025-04-12,20749,57262,716,1993,2
로비,2025-04-02,2025-04-12,17805,227529,698,1676,3
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-12,15739,695724,277,817,4
너의 췌장을 먹고 싶어,2017-10-25,2025-04-12,6386,487512,153,535,5
백설공주와 일곱난쟁이,2025-04-10,2025-04-12,6331,7805,330,471,6
플로우,2025-03-19,2025-04-12,5633,149946,306,385,7
드라이브 인 타이페이,2025-04-11,2025-04-12,4273,9496,462,787,8
베러맨,2025-04-09,2025-04-12,3554,19951,366,669,9
출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전,2025-04-12,2025-04-12,3164,3652,167,302,10
승부,2025-03-26,2025-04-13,116778,1808651,1321,5342,1
아마추어,2025-04-09,2025-04-13,17163,74425,714,1879,2
로비,2025-04-02,2025-04-13,15665,243194,709,1611,3
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-13,13788,709512,272,806,4
백설공주와 일곱난쟁이,2025-04-10,2025-04-13,7212,15017,334,478,5
플로우,2025-03-19,2025-04-13,6078,156024,302,382,6
너의 췌장을 먹고 싶어,2017-10-25,2025-04-13,5083,492595,153,505,7
출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전,2025-04-12,2025-04-13,4352,8004,177,327,8
드라이브 인 타이페이,2025-04-11,2025-04-13,3339,12835,435,714,9
콘클라베,2025-03-05,2025-04-13,2896,266939,166,206,10
승부,2025-03-26,2025-04-14,33277,1841928,1141,4259,1
아마추어,2025-04-09,2025-04-14,5892,80317,603,1457,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-14,5315,714827,224,575,3
로비,2025-04-02,2025-04-14,5018,248212,537,1190,4
드라이브 인 타이페이,2025-04-11,2025-04-14,1310,14145,332,501,5
너의 췌장을 먹고 싶어,2017-10-25,2025-04-14,1224,493819,124,333,6
베러맨,2025-04-09,2025-04-14,1221,23908,280,452,7
콘클라베,2025-03-05,2025-04-14,1044,267983,148,182,8
하보우만의 약속,2025-04-16,2025-04-14,1017,2422,4,4,9
라스트 마일,2025-03-26,2025-04-14,812,49141,109,163,10
승부,2025-03-26,2025-04-15,25332,1867260,1156,4014,1
아마추어,2025-04-09,2025-04-15,4805,85122,613,1331,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-15,4796,719623,222,551,3
로비,2025-04-02,2025-04-15,4079,252291,546,1050,4
드롭,2025-04-23,2025-04-15,2919,2919,13,13,5
야당,2025-04-16,2025-04-15,2315,18843,10,10,6
베러맨,2025-04-09,2025-04-15,2069,25977,287,470,7
너의 췌장을 먹고 싶어,2017-10-25,2025-04-15,1499,495318,142,360,8
콘클라베,2025-03-05,2025-04-15,1133,269116,154,186,9
드라이브 인 타이페이,2025-04-11,2025-04-15,1131,15276,329,473,10
야당,2025-04-16,2025-04-16,85705,104548,1683,6786,1
승부,2025-03-26,2025-04-16,13667,1880927,682,2078,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-16,3943,723566,167,353,3
브리짓 존스의 일기: 뉴 챕터,2025-04-16,2025-04-16,3169,15176,495,1010,4
마리아,2025-04-16,2025-04-16,2933,5552,273,380,5
너의 췌장을 먹고 싶어,2017-10-25,2025-04-16,2153,497471,115,191,6
열혈검사,2025-04-16,2025-04-16,1856,2064,101,213,7
사유리,2025-04-16,2025-04-16,1811,2553,168,263,8
부전시장,2025-03-27,2025-04-16,1611,5842,16,18,9
택시 드라이버,1989-02-17,2025-04-16,1240,7788,82,110,10
야당,2025-04-16,2025-04-17,73742,178290,1689,6709,1
승부,2025-03-26,2025-04-17,13341,1894268,686,2071,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-17,6323,729889,165,367,3
브리짓 존스의 일기: 뉴 챕터,2025-04-16,2025-04-17,2754,17930,456,932,4
마리아,2025-04-16,2025-04-17,1725,7277,252,343,5
열혈검사,2025-04-16,2025-04-17,1494,3558,106,218,6
로비,2025-04-02,2025-04-17,1052,254563,152,178,7
사유리,2025-04-16,2025-04-17,1051,3604,163,240,8
드라이브 인 타이페이,2025-04-11,2025-04-17,952,16663,151,166,9
너의 췌장을 먹고 싶어,2017-10-25,2025-04-17,932,498403,117,182,10
야당,2025-04-16,2025-04-18,107265,285555,1746,7342,1
승부,2025-03-26,2025-04-18,20649,1914917,734,2319,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-18,5432,735321,177,397,3
브리짓 존스의 일기: 뉴 챕터,2025-04-16,2025-04-18,3404,21334,469,1000,4
마리아,2025-04-16,2025-04-18,1955,9232,266,365,5
열혈검사,2025-04-16,2025-04-18,1866,5424,100,222,6
플로우,2025-03-19,2025-04-18,1619,160261,106,110,7
너의 췌장을 먹고 싶어,2017-10-25,2025-04-18,1380,499783,123,224,8
아마추어,2025-04-09,2025-04-18,1375,88372,301,373,9
사유리,2025-04-16,2025-04-18,1338,4942,180,263,10
야당,2025-04-16,2025-04-19,263212,548767,1850,8162,1
승부,2025-03-26,2025-04-19,48171,1963088,852,2760,2
A MINECRAFT MOVIE 마인크래프트 무비,2025-04-26,2025-04-19,10135,10403,80,141,3
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-19,9134,744455,194,474,4
극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,2025-05-29,2025-04-19,5444,5444,26,40,5
브리짓 존스의 일기: 뉴 챕터,2025-04-16,2025-04-19,4914,26248,483,842,6
플로우,2025-03-19,2025-04-19,3462,163723,210,240,7
기동전사 건담 지쿠악스 비기닝,2025-04-02,2025-04-19,2653,35212,101,119,8
백설공주와 일곱난쟁이,2025-04-10,2025-04-19,2643,19097,224,314,9
마리아,2025-04-16,2025-04-19,2467,11699,252,324,10
야당,2025-04-16,2025-04-20,239706,788473,1837,7821,1
승부,2025-03-26,2025-04-20,37698,2000786,845,2630,2
A MINECRAFT MOVIE 마인크래프트 무비,2025-04-26,2025-04-20,10781,21184,83,144,3
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-20,7866,752321,186,465,4
브리짓 존스의 일기: 뉴 챕터,2025-04-16,2025-04-20,3453,29701,452,745,5
플로우,2025-03-19,2025-04-20,2990,166713,213,236,6
백설공주와 일곱난쟁이,2025-04-10,2025-04-20,2379,21476,219,309,7
사유리,2025-04-16,2025-04-20,1957,9239,177,255,8
마리아,2025-04-16,2025-04-20,1872,13571,254,324,9
아마추어,2025-04-09,2025-04-20,1804,92619,307,381,10
야당,2025-04-16,2025-04-21,82246,870719,1654,6589,1
승부,2025-03-26,2025-04-21,10127,2010913,698,2021,2
거룩한 밤: 데몬 헌터스,2025-04-30,2025-04-21,3424,3424,11,21,3
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-21,2960,755281,165,360,4
브리짓 존스의 일기: 뉴 챕터,2025-04-16,2025-04-21,2123,31824,422,706,5
마리아,2025-04-16,2025-04-21,1237,14808,234,303,6
콘클라베,2025-03-05,2025-04-21,920,275716,82,102,7
아마추어,2025-04-09,2025-04-21,769,93388,253,295,8
하보우만의 약속,2025-04-16,2025-04-21,740,7570,58,76,9
로비,2025-04-02,2025-04-21,643,257757,129,145,10
야당,2025-04-16,2025-04-22,91358,962077,1677,6684,1
승부,2025-03-26,2025-04-22,11962,2022875,712,2063,2
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-22,2799,758080,168,354,3
브리짓 존스의 일기: 뉴 챕터,2025-04-16,2025-04-22,2423,34247,417,714,4
콘클라베,2025-03-05,2025-04-22,1507,277223,89,115,5
마리아,2025-04-16,2025-04-22,1417,16225,249,320,6
열혈검사,2025-04-16,2025-04-22,940,8715,104,187,7
아마추어,2025-04-09,2025-04-22,866,94254,253,297,8
사유리,2025-04-16,2025-04-22,861,10727,152,193,9
하보우만의 약속,2025-04-16,2025-04-22,749,8319,65,88,10
야당,2025-04-16,2025-04-23,78725,1040802,1718,6830,1
승부,2025-03-26,2025-04-23,11002,2033877,728,2103,2
압수수색: 내란의 시작,2025-04-23,2025-04-23,5455,6749,234,459,3
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-23,3166,761246,171,399,4
4월 이야기,2000-04-08,2025-04-23,2618,8599,154,289,5
콘클라베,2025-03-05,2025-04-23,1955,279178,133,184,6
브리짓 존스의 일기: 뉴 챕터,2025-04-16,2025-04-23,1703,35950,308,476,7
우리가 빛이라 상상하는 모든 것,2025-04-23,2025-04-23,1627,2768,63,93,8
마리아,2025-04-16,2025-04-23,1549,17774,161,194,9
열혈검사,2025-04-16,2025-04-23,1057,9772,101,161,10
야당,2025-04-16,2025-04-24,74461,1115263,1756,6827,1
승부,2025-03-26,2025-04-24,10619,2044496,738,2060,2
파과,2025-04-30,2025-04-24,7953,8200,40,43,3
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-24,6921,768167,195,496,4
압수수색: 내란의 시작,2025-04-23,2025-04-24,4490,11239,240,464,5
콘클라베,2025-03-05,2025-04-24,2123,281301,154,213,6
브리짓 존스의 일기: 뉴 챕터,2025-04-16,2025-04-24,1519,37469,298,426,7
"극장판 뱅드림! 잇츠 마이고!!!!! 전편: 봄의 양지, 방황하는 고양이",2025-04-24,2025-04-24,1518,1518,77,152,8
4월 이야기,2000-04-08,2025-04-24,1083,9682,139,248,9
플로우,2025-03-19,2025-04-24,972,169079,87,103,10
야당,2025-04-16,2025-04-25,108658,1223921,1798,7455,1
승부,2025-03-26,2025-04-25,16626,2061122,778,2369,2
압수수색: 내란의 시작,2025-04-23,2025-04-25,6988,18227,247,498,3
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-04-25,6306,774473,189,481,4
콘클라베,2025-03-05,2025-04-25,3811,285112,194,284,5
브리짓 존스의 일기: 뉴 챕터,2025-04-16,2025-04-25,2028,39497,302,441,6
카우보이 비밥-천국의문,2003-10-03,2025-04-25,1473,1815,89,182,7
열혈검사,2025-04-16,2025-04-25,1373,11955,108,171,8
4월 이야기,2000-04-08,2025-04-25,1252,10934,143,272,9
플로우,2025-03-19,2025-04-25,894,169973,104,122,10
야당,2025-04-16,2025-04-26,220908,1444829,1765,7097,1
A MINECRAFT MOVIE 마인크래프트 무비,2025-04-26,2025-04-26,185890,207074,1420,5821,2
